experiment date:Feb28_2022:22:43:14
size of population: 20
prob of cross over = 0.25
prob of mutant = 0.001
length  of genotype = 70
Generation = 50
total 1598 experiments are needed for 100 converge.
loop	firstGen	totalCoop	maxKeep
0	16	34	34
1	32	18	18
2	48	2	2
3	28	22	22
4	28	7	7
5	44	6	6
6	9	41	41
7	19	31	31
8	28	22	22
9	17	33	33
10	31	19	19
11	8	42	42
12	27	23	23
13	48	2	2
14	17	33	33
15	22	6	6
16	14	36	36
17	16	34	34
18	34	16	16
19	25	25	25
20	35	15	15
21	46	4	4
22	19	31	31
23	17	33	33
24	21	29	29
25	29	21	21
26	19	12	12
27	12	38	38
28	40	10	10
29	33	17	17
30	38	12	12
31	27	23	23
32	15	35	35
33	47	3	3
34	49	1	1
35	47	3	3
36	24	26	26
37	37	13	13
38	12	38	38
39	43	7	7
40	41	9	9
41	49	1	1
42	19	31	31
43	39	11	11
44	23	27	27
45	15	35	35
46	35	11	11
47	12	5	5
48	17	33	33
49	10	40	40
50	13	37	37
51	16	34	34
52	13	7	7
53	19	31	31
54	49	1	1
55	18	32	32
56	37	13	13
57	12	38	38
58	18	32	32
59	30	20	20
60	27	1	1
61	31	9	9
62	13	37	37
63	9	41	41
64	14	4	4
65	39	11	11
66	42	8	8
67	20	30	30
68	47	3	3
69	21	29	29
70	19	31	31
71	25	25	25
72	22	28	28
73	47	3	3
74	35	15	15
75	21	29	29
76	24	26	26
77	7	43	43
78	24	26	26
79	30	20	20
80	15	35	35
81	39	11	11
82	28	22	22
83	13	7	7
84	17	31	29
85	33	17	17
86	14	36	36
87	20	30	30
88	21	29	29
89	23	27	27
90	27	23	23
91	26	24	24
92	38	5	5
93	33	17	17
94	37	13	13
95	45	5	5
96	33	17	17
97	16	34	34
98	24	26	26
99	9	41	41
ave first gen =26.34
ave max keep = 21.38
ave total coop =  21.4
min first gen of this exp  77-th =7
max keep of this exp  77-th = 43
max total coop  of this exp  77-th = 43
