experiment date:Mar1_2022:12:27:55
size of population: 20
prob of cross over = 0.05
prob of mutant = 0.5
length  of genotype = 70
Generation = 50
total 1565 experiments are needed for 100 converge.
loop	firstGen	totalCoop	maxKeep
0	10	40	40
1	33	17	17
2	26	24	24
3	14	36	36
4	24	26	26
5	24	13	10
6	9	41	41
7	34	16	16
8	18	32	32
9	46	4	4
10	37	13	13
11	20	30	30
12	14	15	15
13	29	21	21
14	15	35	35
15	15	3	3
16	48	2	2
17	8	5	5
18	29	21	21
19	43	7	7
20	24	26	26
21	15	35	35
22	25	25	25
23	7	43	43
24	49	1	1
25	22	28	28
26	29	21	21
27	13	37	37
28	14	36	36
29	28	22	22
30	17	33	33
31	20	30	30
32	32	18	18
33	28	22	22
34	42	8	8
35	11	39	39
36	21	29	29
37	28	22	22
38	26	24	24
39	28	22	22
40	26	24	24
41	24	26	26
42	21	29	29
43	13	37	37
44	30	20	20
45	26	24	24
46	35	15	15
47	45	5	5
48	47	3	3
49	23	27	27
50	32	18	18
51	14	29	28
52	25	25	25
53	21	29	29
54	17	33	33
55	13	5	5
56	41	9	9
57	18	32	32
58	45	5	5
59	16	34	34
60	27	23	23
61	20	30	30
62	39	11	11
63	24	26	26
64	14	36	36
65	14	36	36
66	18	32	32
67	48	2	2
68	35	15	15
69	31	2	2
70	22	28	28
71	21	29	29
72	22	28	28
73	25	6	6
74	31	19	19
75	26	24	24
76	19	31	31
77	25	25	25
78	44	6	6
79	9	41	41
80	42	8	8
81	23	27	27
82	14	36	36
83	16	34	34
84	25	25	25
85	21	29	29
86	13	37	37
87	26	24	24
88	11	39	39
89	15	35	35
90	12	8	8
91	17	32	22
92	16	16	11
93	46	4	4
94	48	2	2
95	28	22	22
96	31	19	19
97	6	44	44
98	34	11	11
99	15	35	35
ave first gen =24.8
ave max keep = 22.69
ave total coop =  22.88
min first gen of this exp  97-th =6
max keep of this exp  97-th = 44
max total coop  of this exp  97-th = 44
